LATITUDE LONGITUDE
-25.675228 -54.448355
-25.5953615 -54.5913863
-25.8573167 -54.1687833
-25.8573167 -54.1687833
-25.8573167 -54.1687833
-26.5207167 -53.9816667
-26.5207167 -53.9816667
-26.5207167 -53.9816667
-25.8598221 -53.9594579
-19.1526277 -40.0585556
-19.1526277 -40.0585556
-19.1526277 -40.0585556
-19.1526277 -40.0585556
-19.1526277 -40.0585556
-19.9073081 -40.5531549
-19.0101903 -40.1509094
-19.0101903 -40.1509094
-19.1510061 -40.0259399
-19.1510061 -40.0259399
-19.1510061 -40.0259399
-19.1510061 -40.0259399
-19.2409356 -40.0046531
-19.1516345 -40.0706148
-19.1515732 -40.0709472
-19.1515732 -40.0709472
-19.1515732 -40.0709472
-19.1515732 -40.0709472
-19.1515732 -40.0709472
-19.1374651 -40.0625038
-19.1374651 -40.0625038
-25.6424549 -54.4382858
-25.6424549 -54.4382858
-25.3458877 -48.8884735
-25.0624318 -48.5700846
-25.331142 -48.913786
-25.5820853 -54.5690918
-25.5820853 -54.5690918
-25.5820853 -54.5690918
-23.1719132 -44.8374887
-22.4445094 -42.6421452
-22.4445094 -42.6421452
-22.3583314 -42.529707
-22.9828067 -44.5432091
-22.3661793 -42.5403145
-22.3583314 -42.529707
-26.3233634 -49.3078208
-24.1367282 -47.9772949
-24.2682101 -48.4127569
-24.2682101 -48.4127569
-24.1367282 -47.9772949
-24.2682101 -48.4127569
-23.449979 -46.6370058
-24.1755723 -47.9800415
-24.1755723 -47.9800415
-24.2682101 -48.4127569
-24.2682101 -48.4127569
-23.449979 -46.6370058
-24.265492 -48.413681
-24.2585457 -48.4144306
-24.2835291 -48.4222868
-24.2835291 -48.4222868
-23.449979 -46.6370058
-23.4011 -45.06293
-24.0495992 -47.8701782
-24.0495992 -47.8701782
-23.4736349 -45.1729918
-23.4736349 -45.1729918
-24.265492 -48.413681
-24.265492 -48.413681
-24.265492 -48.413681
-23.449979 -46.6370058
-23.39938 -45.05881
-24.265492 -48.413681
-23.449979 -46.6370058
-23.449979 -46.6370058
-24.23061 -48.10128
-24.265492 -48.413681
-24.265492 -48.413681
-23.3575457 -45.122188
-23.3575457 -45.122188
-23.4736349 -45.1729918
-23.449979 -46.6370058
-23.4736349 -45.1729918
-23.354839 -45.1441956
-23.4736349 -45.1729918
-23.4736349 -45.1729918
-24.265492 -48.413681
-24.265492 -48.413681
-23.4736349 -45.1729918
-24.26769 -48.41469
-23.4341116 -46.6377354
-23.9975444 -47.8578186
-24.1932838 -47.9200802
